prod_key,sum(Total Units Number),local_acg,local_disc
1048582,14.142,447.213432,408.473676
1048616,3.000,15.528000,15.528000
1048672,18.999,475.050423,438.739503
1048673,1.500,37.768500,34.432500
1048674,21.500,580.706500,546.182500
1048704,3.000,39.771000,39.771000
1048770,3.000,80.508000,66.807000
1048771,6.000,92.802000,77.040000
1048909,54.000,874.098000,874.098000
1053415,3.000,42.510000,31.851000
1053429,12.000,305.808000,244.992000
1053440,16.500,95.191500,77.908500
1053467,70.500,1497.660000,1018.381000
1053471,3.000,68.277000,68.277000
1053472,9.000,127.041000,121.383000
1053490,12.000,520.452000,520.452000
1053515,9.600,249.878400,213.571200
1053519,27.700,668.484100,539.845300
1053525,2.001,31.429707,31.429707
1053540,57.667,1414.283175,1414.283175
1053542,12.000,143.100000,131.280000
1053545,31.000,815.362000,750.202000
1053546,26.400,1080.261600,997.101600
1053592,6.000,187.962000,187.962000
1053594,6.000,117.330000,117.330000
1053595,13.200,318.993600,303.693600
1053596,3.000,73.575000,50.031000
1053609,12.000,137.340000,93.396000
1053619,18.000,461.064000,394.128000
1053639,34.200,228.148200,228.148200
1053641,19.500,314.182500,285.775500
1053652,3.600,139.588800,125.953800
1053659,3.000,43.296000,43.296000
1053710,3.000,55.491000,50.490000
1053751,3.000,79.722000,79.722000
1053760,78.000,1723.332000,1367.106000
1053767,18.000,457.677000,448.608000
1053768,5.000,182.575000,182.575000
1053770,3.000,81.750000,76.452000
1053771,3.000,88.290000,81.228000
1053845,48.000,894.672000,752.880000
1053855,15.000,474.150000,474.150000
1053863,6.000,40.938000,31.722000
1053891,2.000,42.248000,35.556000
1054026,3.000,18.900000,16.317000
1054029,16.280,135.031470,135.014790
1054033,7.800,54.069600,50.637600
1054105,6.000,59.970000,54.480000
1054127,3.000,37.311000,37.311000
1054132,3.000,64.026000,51.534000
1054141,9.000,96.924000,85.344000
1054157,30.000,281.604000,268.782000
1054162,5.850,106.551900,91.055250
1054175,0.858,20.490756,20.490756
1054189,18.000,1053.594000,1053.594000
1054191,4.200,150.477600,136.563000
1054216,10.000,248.740000,183.560000
1054234,11.000,104.192000,95.590000
1054254,6.300,188.420100,170.904900
1054255,1.200,20.850000,18.913200
1054258,5.100,125.021400,107.956800
1054259,42.000,591.486000,591.486000
1054266,9.000,827.835000,804.738000
1054282,8.100,295.771500,295.771500
1054306,75.000,944.250000,774.975000
1054307,12.000,172.656000,141.792000
1054312,17.625,518.703750,485.092875
1054334,15.000,37.110000,31.065000
1054349,3.000,59.679000,49.542000
1054353,15.000,370.170000,339.600000
1054466,18.000,348.156000,325.854000
1054467,39.000,740.004000,541.194000
1054518,24.500,710.439000,708.602500
1054556,9.000,199.797000,187.797000
1054558,12.000,408.228000,295.740000
1054580,39.000,1594.125000,1594.125000
1054603,7.000,139.174000,117.124000
1054640,9.000,68.769000,68.769000
1054697,17.000,364.667000,364.667000
1054698,12.000,436.092000,365.064000
1054708,3.000,26.520000,26.520000
1054732,13.250,351.681500,351.681500
1054762,7.500,31.477500,31.477500
1054767,6.000,261.732000,193.128000
1054770,9.000,88.191000,81.318000
1054771,3.000,67.884000,63.144000
1054848,6.000,249.042000,111.966000
1055210,9.000,109.188000,98.982000
1055212,12.000,188.352000,172.800000
1055225,6.000,204.768000,185.736000
1055244,141.800,3238.144800,2142.172600
1055314,3.600,261.431400,257.795400
1055323,3.000,70.338000,66.120000
1055384,9.000,134.823000,122.826000
1055420,0.900,3.924000,1.922400
1055432,6.000,61.542000,56.460000
1055451,7.725,217.446900,214.212525
1055497,21.399,306.396489,305.971116
1055555,15.900,128.757900,123.154500
1055556,7.800,59.342400,50.668800
1055564,5.000,151.565000,151.565000
1055565,15.000,84.045000,83.220000
1055620,6.000,189.336000,151.662000
1055656,3.000,50.031000,45.387000
1055665,3.000,47.841000,43.392000
1055672,7.500,15.678000,15.678000
1055699,39.000,716.703000,650.403000
1055701,3.000,70.797000,64.224000
1055707,27.000,261.927000,220.131000
1055795,13.999,267.615780,239.032696
1055817,3.000,72.495000,72.495000
1055876,3.000,104.445000,79.722000
1055877,14.100,330.743700,132.328500
1055953,12.000,266.184000,213.600000
1056010,12.000,100.848000,100.848000
1056016,0.600,6.180600,5.389200
1056017,6.000,196.530000,195.546000
1056344,6.000,335.502000,274.944000
1056395,6.000,65.688000,65.688000
1056527,6.000,39.270000,39.270000
1056954,9.000,65.439000,65.439000
1057053,75.000,596.175000,596.175000
1057881,18.500,444.665500,401.814500
1058167,7.500,231.793500,183.088500
1058211,7.599,364.845060,339.721536
1058371,3.000,57.813000,52.452000
1058556,18.000,212.622000,209.907000
1058634,6.000,121.629000,99.711000
1058700,7.600,94.791400,81.068000
1058709,33.000,794.904000,774.270000
1058760,3.000,14.487000,14.487000
1058779,15.000,507.510000,507.510000
1058899,12.000,106.668000,106.668000
1058939,24.000,125.568000,125.568000
1059035,3.000,81.396000,70.257000
1059037,3.000,75.471000,69.240000
1059044,9.000,152.055000,152.055000
1059190,3.000,209.802000,175.632000
1059349,15.000,707.400000,466.143000
1059371,1.050,8.537550,7.736400
1059765,15.000,773.520000,773.520000
1059872,22.500,231.190500,215.547000
1059937,49.000,261.709000,57.673000
1060017,5.333,59.697602,59.697602
1060300,6.000,319.416000,289.722000
1060495,6.000,243.288000,243.288000
1061169,9.300,491.187600,490.239300
1061213,16.700,173.656700,168.688800
1061287,3.000,111.441000,111.441000
1061531,7.929,71.472006,71.472006
1061686,4.000,80.660000,80.660000
1061892,3.000,78.939000,65.532000
1061925,6.000,93.456000,88.812000
1061932,9.000,277.920000,277.920000
1062130,25.600,322.941400,318.605200
1062143,9.000,47.871000,47.871000
1062281,99.000,523.413000,480.150000
1062417,9.000,167.751000,167.751000
1062468,15.000,264.375000,264.375000
1062579,23.000,464.138000,464.138000
1062618,2.500,28.012500,25.425000
1062667,8.240,30.350080,30.350080
1062736,3.000,116.739000,96.204000
1062738,6.000,166.788000,166.788000
1062750,12.000,444.684000,444.684000
1062831,9.000,58.464000,21.096000
1063248,15.750,95.964750,79.663500
1063384,19.200,735.946800,727.731600
1063763,9.000,128.610000,106.731000
1063969,15.000,143.340000,134.184000
1063986,12.000,111.840000,63.696000
1064093,9.000,253.827000,253.827000
1064209,24.000,1532.712000,1414.464000
1064235,9.000,128.520000,88.038000
1064270,4.899,121.108179,109.041942
1064511,9.000,136.557000,117.918000
1064530,6.000,294.300000,294.300000
1064564,6.000,110.526000,95.616000
1064782,4.000,159.140000,159.140000
1064993,2.900,77.224100,65.305100
1064996,38.100,237.972600,225.138600
1065068,0.450,3.222450,3.222450
1065099,9.000,304.047000,295.317000
1065100,9.000,289.791000,289.791000
1065133,3.600,82.285200,48.657600
1065160,1.200,97.838400,82.993200
1065217,15.000,409.146000,409.146000
1065234,6.000,138.942000,138.942000
1065331,21.000,737.982000,737.982000
1065469,11.000,464.763000,462.736000
1065471,5.000,63.765000,63.765000
1065763,227.000,3462.940000,3457.741000
1066019,9.000,287.532000,287.532000
1066127,6.999,173.457423,164.386503
1066292,29.400,2596.027700,2445.793000
1066321,6.000,94.248000,94.248000
1066330,6.000,123.168000,123.168000
1066405,9.000,68.445000,68.445000
1066492,47.500,1768.140000,1768.140000
1066666,3.000,629.142000,629.142000
1066755,6.000,131.322000,125.013000
1067006,7.500,96.223500,94.245000
1067039,12.000,339.948000,296.520000
1067337,13.000,72.982000,72.982000
1067512,4.700,259.839500,259.839500
1067513,6.000,227.304000,154.614000
1067520,25.000,1561.786000,1515.748000
1067539,12.000,591.612000,520.197000
1067671,6.000,48.624000,48.624000
1067672,9.000,73.899000,73.899000
1067695,1.500,86.098500,78.103500
1067851,9.000,85.536000,85.536000
1068011,4.000,18.924000,15.828000
1068016,9.000,60.192000,60.192000
1068095,4.080,102.242160,89.351520
1068153,51.199,719.909139,684.172237
1068305,30.000,111.180000,111.180000
1068313,3.000,21.714000,21.714000
1068317,6.000,16.740000,16.740000
1068369,7.000,27.776000,27.776000
1068633,0.750,14.821500,12.303750
1068892,6.000,60.690000,60.690000
1068986,3.000,27.417000,27.417000
1068987,6.000,54.834000,54.834000
1068995,6.000,313.302000,313.302000
1068997,1.000,33.201000,33.201000
1069099,31.800,58.391400,52.156200
1069173,9.000,205.200000,171.999000
1069174,27.000,569.997000,477.765000
1069496,3.000,121.743000,56.670000
1070008,78.000,3645.930000,3406.701000
1070088,12.000,163.632000,150.120000
1070089,9.000,254.079000,233.100000
1070211,6.000,132.564000,99.930000
1070226,24.000,139.899000,109.653000
1070404,3.600,120.232800,93.272400
1070460,3.000,14.322000,8.307000
1070503,6.000,409.272000,365.916000
1070508,0.900,3.845700,3.237300
1070614,9.000,72.009000,60.624000
1070995,3.000,108.990000,82.731000
1071018,15.000,830.025000,644.850000
1071026,6.000,240.474000,177.498000
1071030,15.000,617.610000,476.742000
1071125,6.000,217.260000,144.600000
1071914,6.000,350.022000,270.168000
1072044,6.000,165.222000,129.162000
1072075,10.200,312.079200,203.459400
1072176,15.000,333.045000,333.045000
1072197,21.000,137.109000,137.109000
1076800,25.000,194.850000,194.850000
1076816,119.100,7693.103700,7550.015700
1076887,39.000,625.599000,625.599000
1076892,2.001,67.831899,61.528749
1076896,3.000,71.841000,34.794000
1076935,45.644,440.327668,440.327668
1077565,18.000,1868.814000,1691.244000
1077738,9.000,147.933000,66.609000
1077997,4.000,136.904000,76.648000
1078161,3.000,176.154000,159.804000
1078298,6.000,319.482000,289.854000
1078390,3.000,68.376000,23.055000
1078391,21.000,126.126000,115.710000
17526248,15.000,2407.965000,2407.965000
17526249,9.000,629.391000,629.391000
17526250,18.000,755.052000,706.320000
17526255,3.858,131.202864,122.036256
17526257,28.500,337.981500,288.904500
17526262,3.858,25.358634,23.969754
17526265,6.000,174.750000,174.750000
17526274,3.000,223.839000,223.839000
17526289,21.000,511.359000,496.449000
17526290,113.000,2424.769000,2424.769000
17526292,3.000,62.163000,54.774000
17526293,3.000,101.664000,89.532000
17526310,205.071,1710.254967,1501.850967
17526311,79.176,659.444472,635.600574
17526335,24.000,1949.220000,1745.016000
17526336,12.000,1013.880000,780.684000
17526357,6.000,267.162000,245.100000
17526358,6.000,248.520000,248.520000
17526359,11.000,670.786000,585.546000
17526362,3.000,60.789000,60.789000
17526367,3.000,164.577000,102.960000
17526369,6.000,258.966000,184.356000
