prod_key,qty,local_acg,local_disc
7521633,116.000,6832.980000,5329.736000
652356207,319.000,10572.298000,4452.544000
17530623,14.500,135.444500,50.257000
17530720,87.000,22949.469000,22949.469000
7532997,87.000,7184.286000,6394.413000
7520302,87.000,2795.310000,2795.310000
5343054,232.000,2652.050000,1569.828000
7474714,74.000,4878.302000,4878.302000
652375407,145.000,2292.131000,1191.291000
652383645,145.000,859.270000,317.550000
6421825,43.500,765.121500,660.649000
652372075,127.000,3838.702000,2857.881000
7520891,87.000,6032.783000,5665.121000
652372982,72.500,3187.897500,3010.069500
2179749,116.000,9152.052000,8439.812000
17526249,87.000,6084.113000,6084.113000
7509688,372.000,7203.810000,3174.650000
17530509,103.966,7466.172072,6894.340150
652365198,87.000,849.990000,206.016000
5344512,654.000,18678.240000,14382.114000
1054767,46.000,1990.133000,1567.075000
7500861,246.500,4566.050000,3799.319000
7504218,312.500,7108.167500,5775.907500
17533010,1205.000,9167.640000,9073.440000
17533744,68.250,2922.150750,2672.257500
7511234,174.000,8065.074000,7206.558000
7525392,189.000,7632.765000,7632.765000
5337820,64.000,1580.352000,1506.300000
7514168,202.000,8699.332000,8699.332000
652371949,82.000,844.717000,511.761000
652377696,169.000,2051.322000,1880.778000
17539033,50.000,2046.800000,2046.800000
17526310,1678.640,14058.842780,12123.662780
1068153,845.393,10231.383473,10156.074159
2128222,1417.000,9190.662000,8741.494000
7477774,229.573,3926.157446,3926.157446
7502224,549.000,7917.129000,7917.129000
7518025,18.000,705.078000,698.930000
652371241,87.008,2329.986368,1878.233120
1068369,840.000,3333.120000,3333.120000
652378287,66.000,1905.684000,1748.340000
17537139,1102.000,36936.836000,32132.116000
7519158,58.000,3418.926000,3418.926000
17530607,29.000,1049.452000,767.804000
1066330,58.000,1190.624000,1190.624000
7508505,116.000,5245.520000,3645.648000
7473907,48.668,4109.936388,4107.417360
7508912,145.000,6785.130000,3679.375000
7478893,116.000,8423.224000,7149.080000
7523407,116.000,5935.720000,5129.520000
7505835,87.000,2489.940000,1727.907000
17533817,125.000,1501.500000,1396.625000
7520861,87.000,2484.720000,1913.217000
652367895,209.887,10457.409888,9830.477419
652374888,87.000,1663.005000,162.516000
652374868,87.000,7920.045000,7304.085000
7472482,58.000,702.380000,635.390000
2138416,43.750,2248.461750,2021.573500
7507826,145.000,7529.560000,6813.550000
7520603,116.179,6599.468473,5410.076942
17526523,184.000,39441.074000,37735.334000
7524324,116.000,5182.068000,5182.068000
7519296,59.000,4817.468000,4817.468000
7476748,362.000,1649.272000,1649.272000
7510252,480.000,7659.840000,7659.840000
652388892,40.000,192.320000,161.600000
5362978,199.000,1097.485000,1097.485000
5335974,318.000,4221.858000,4148.490000
1053595,71.200,1721.773600,1629.973600
17527034,284.000,713.920000,697.105000
7474201,268.292,6837.375448,6467.071448
7520099,67.000,3541.955000,3169.154000
7518605,87.000,4484.908000,3977.118000
5336858,116.000,4776.184000,4013.600000
7509953,175.500,4368.371000,3670.910000
7504743,182.100,20459.743400,19947.385200
5335520,245.000,5592.125000,5411.165000
1058556,154.000,1823.386000,1797.141000
7473239,49.000,7333.424000,7145.535000
7500163,29.000,857.240000,622.224000
17526889,58.000,2298.366000,2298.366000
17526591,87.000,5630.669000,4200.534000
2154240,129.000,1265.722000,1208.795000
652364284,170.000,3568.640000,2574.226000
17537874,29.000,2876.510000,2143.158000
7508404,87.000,9177.978000,6118.652000
7479650,1817.000,1902.399000,1902.399000
652374016,29.000,860.343000,860.343000
652373012,19.343,224.959090,175.421667
652376489,29.000,2825.934000,2515.199000
1058634,58.000,1175.747000,963.873000
652375615,25.000,1214.100000,1153.400000
7520093,58.000,6454.762000,3485.336000
7495398,87.000,563.238000,563.238000
652373299,48.343,1724.684868,1474.364814
7534162,87.000,4658.850000,4066.293000
7503774,87.000,1657.524000,1657.524000
17526958,58.000,6259.418000,5776.423000
652360190,215.000,1775.685000,1775.685000
7524012,89.400,12033.276600,11968.843800
17530796,87.000,7301.910000,5294.385000
17537856,163.000,708.887000,693.809000
652367970,169.000,2933.315000,1109.892000
652358721,29.000,4884.905000,4104.950000
7492344,144.000,10219.801000,10219.801000
7511178,51.000,2203.664000,2203.664000
1064782,55.000,2188.175000,2188.175000
7518742,162.000,3337.574000,2700.398000
7532974,58.000,3489.106000,3489.106000
652375038,58.000,837.926000,387.904000
7525904,87.000,6418.860000,5070.882000
1054029,143.640,1191.386210,1191.224970
17526897,87.000,7656.087000,7060.746000
7513684,1450.000,0.000000,0.000000
7520562,72.000,2654.590000,2521.646000
652371916,194.400,14608.757600,12144.662400
652371885,54.000,924.696000,838.782000
652375518,515.428,6813.557668,6486.840172
17532877,45.500,1936.207000,550.504500
1054467,337.000,6394.688000,4499.366000
1059037,29.000,729.553000,669.320000
5364156,29.000,494.711000,453.850000
7501956,116.000,6700.450000,6039.772000
1054518,215.500,6248.567000,6246.730500
652373505,79.000,721.882000,721.882000
652365196,192.000,550.656000,542.412000
1055212,105.000,1648.080000,1512.000000
5341270,190.000,5069.770000,5069.770000
7533083,29.000,231.710000,231.710000
7524756,290.000,1725.500000,51.910000
7505247,29.000,1000.790000,1000.790000
7525937,29.000,1462.905000,1360.506000
652357649,87.000,5887.406000,5887.406000
7507875,29.000,880.005000,880.005000
5334477,53.000,6750.667000,6318.965000
7485896,46.400,6796.532800,6796.532800
7519781,145.000,15011.850000,10651.149000
7495224,29.000,923.650000,505.760000
7520288,58.000,3919.640000,3331.694000
7478970,580.000,11822.140000,9704.560000
7478484,58.000,2089.914000,2089.914000
6423125,58.000,623.964000,507.210000
7533382,72.000,3765.194000,3375.326000
7503471,118.900,1633.494600,1311.290100
7523306,58.000,0.000000,0.000000
652363981,116.000,6453.544000,5854.172000
7477347,29.000,11448.185000,10527.725000
7506249,111.000,3252.435000,2877.381000
1055556,75.400,573.643200,489.798400
1063986,90.000,838.800000,477.720000
17537730,116.000,3351.936000,705.512000
652354162,216.000,2591.946000,2548.962000
17526502,43.397,2064.785863,2064.785863
7520062,54.000,1753.974000,1720.366000
17532888,65.000,1309.555000,1309.555000
7534302,56.000,1084.888000,911.680000
17530538,26.000,1064.336000,1064.336000
7488795,52.000,957.892000,904.657000
652376354,133.800,1615.028000,1525.570800
17530776,58.000,141.520000,131.834000
7475929,145.000,8613.725000,7814.050000
7490751,87.000,4244.730000,3820.257000
2133882,58.000,1518.440000,1222.350000
652357633,116.000,4286.200000,4286.200000
652360199,87.000,768.210000,768.210000
652357557,145.000,4985.970000,4985.970000
7534056,65.000,10087.946000,10087.946000
7494274,61.000,2806.020000,2806.020000
7492828,29.000,768.877000,768.877000
2162855,42.200,233.891600,210.661600
7525285,87.000,4006.611000,4006.611000
