prod_key,qty,local_acg,local_disc
1048616,1.000,4.350000,4.350000
1048673,0.500,11.550000,10.530000
1048704,1.000,11.140000,11.140000
1048770,1.000,24.620000,20.430000
1053596,1.000,22.500000,15.300000
1053751,1.000,24.380000,24.380000
1053771,1.000,27.000000,24.840000
1053863,2.000,12.520000,9.700000
1054026,1.000,5.780000,4.990000
1054105,2.000,18.340000,16.660000
1054132,1.000,19.580000,15.760000
1054175,0.286,6.266260,6.266260
1054191,1.400,46.018000,41.762000
1054334,5.000,11.350000,9.500000
1054349,1.000,18.250000,15.150000
1054556,3.000,61.100000,57.430000
1055210,3.000,33.390000,30.270000
1055555,5.300,39.376000,37.662000
1055620,2.000,57.900000,46.380000
1055665,1.000,14.630000,13.270000
1055701,1.000,21.650000,19.640000
1055707,9.000,80.100000,67.320000
1056344,2.000,102.600000,84.080000
1056527,2.000,11.000000,11.000000
1056954,3.000,18.330000,18.330000
1058634,2.000,34.070000,27.930000
1059035,1.000,22.800000,19.680000
1059190,1.000,64.160000,53.710000
1059371,0.350,2.611000,2.366000
1061892,1.000,24.140000,20.040000
1061932,3.000,84.990000,84.990000
1062831,3.000,17.880000,6.450000
1064564,2.000,33.800000,29.240000
1065234,2.000,38.920000,38.920000
1066330,2.000,34.500000,34.500000
1066666,1.000,176.230000,176.230000
1067671,2.000,13.620000,13.620000
1067672,3.000,20.700000,20.700000
1068313,1.000,6.640000,6.640000
1068633,0.250,4.532500,3.762500
1068892,2.000,17.000000,17.000000
1068986,1.000,7.680000,7.680000
1068987,2.000,15.360000,15.360000
1068995,2.000,87.760000,87.760000
1069496,1.000,37.230000,17.330000
1070503,2.000,125.160000,111.900000
1070614,3.000,22.020000,18.540000
1070995,1.000,33.330000,25.300000
1071018,5.000,232.500000,180.630000
1071030,5.000,173.000000,133.540000
1072044,2.000,46.280000,36.180000
1076896,1.000,21.970000,10.640000
1077738,3.000,45.240000,20.370000
1078161,1.000,53.870000,48.870000
1078298,2.000,97.700000,88.640000
1078390,1.000,20.910000,7.050000
17526249,3.000,176.300000,176.300000
17526255,1.286,40.123200,37.319720
17526274,1.000,62.700000,62.700000
17526292,1.000,19.010000,16.750000
17526293,1.000,31.090000,27.380000
17526335,8.000,546.000000,488.800000
17526474,1.000,4.720000,4.440000
