prod_key,qty,local_acg,local_disc
1048582,136.7118,3966.33,3824.147143
1048616,29,126.15,126.15
1048672,171.6658,3909.616667,3687.483333
1048673,14.5,334.95,305.37
1048674,170,4145.25,4081.9
1048704,29,323.06,323.06
1048770,29,713.98,592.47
1048771,54,699.06,641.22
1048909,421.1,5627.523,5627.523
1053415,44,508,494.96
1053429,127.9,2922.142,2476.207
1053440,128,670.62,530.19
1053467,1173.5,22882.5,21051.3
1053471,30,626.4,626.4
1053472,91,1128.05,1115.94
1053490,108,4366.92,4366.92
1053515,92.8,2216.064,1894.048
1053519,137.65,3027.071,2483.282
1053525,9.9998,144.26,144.26
1053540,1358.3325,30562.5,30562.5
1053542,116,1269.04,1269.04
1053545,275,6542.75,6542.75
1053546,243.2,8593.328,8006.08
1053592,58,1638.22,1638.22
1053594,57,1022.58,1022.58
1053595,71.2,1559.116,1474.876
1053596,29,652.5,443.7
1053609,99,1043.5,724.3
1053619,153,3469.33,3100.45
1053639,499.1,3054.492,3054.492
1053641,162.5,2419.5,2183.315
1053652,34.8,1237.952,1117.022
1053659,70,926.8,926.8
1053668,59,1777.08,1777.08
1053710,25.5,432.735,393.72
1053714,40,954.8,935.88
1053751,29,707.02,707.02
1053760,682,13824.14,10966.56
1053767,165,3483.68,3463.36
1053768,138,4591.29,4591.29
1053770,15,375,350.7
1053771,29,783,720.36
1053845,379,6480.9,5453.81
1053855,119,3451,3451
1053863,58,363.08,281.3
1053891,2,38.76,32.62
1054026,29,167.62,144.71
1054029,143.64,1093.0018,1092.8539
1054033,65,402.6,402.6
1054105,58,531.86,483.14
1054127,4,45.64,45.64
1054132,29,567.82,457.04
1054141,67,627.86,585.38
1054157,169.4,1382.956,1331.604
1054162,52.55,878.1105,750.414
1054175,8.2853,181.54,181.54
1054189,162,8532,8532
1054191,40.6,1334.522,1211.098
1054216,111,2485.18,1958.94
1054234,86,719.29,719.29
1054254,60.9,1671.009,1515.656
1054255,8.4,133.896,121.464
1054258,90.2971,1917.687,1766.336
1054259,260.6653,3247.453333,3247.453333
1054266,60,5061.47,5061.47
1054282,54.2,1815.7,1815.7
1054306,682,7877.1,6465.36
1054307,72,950.4,780.48
1054312,163.375,4411.125,4125.21875
1054334,145,329.15,275.5
1054349,29,529.25,439.35
1054353,145,3282.8,3282.8
1054466,176,3070.23,3042.95
1054467,337,5866.66,4127.78
1054518,215.5,5732.64,5730.955
1054556,87,1771.9,1665.47
1054558,116,3620.36,2622.76
1054580,272,10026,10026
1054603,20,364.8,307
1054640,70,490.7,490.7
1054697,144,2795.52,2795.52
1054698,114,3414.22,3213.31
1054708,29,235.19,235.19
1054732,180.5,4395.175,4395.175
1054762,46.5,184.425,184.425
1054767,46,1825.8,1437.67
1054770,87,776.03,756.6
1054771,29,602.04,559.99
1054848,58,2208.64,992.96
1055210,87,968.31,877.83
1055212,105,1465,1465
1055225,58,1815.98,1647.2
1055244,765.4,15880.93,10879.644
1055314,11.8,810.842,778.594
1055323,7,150.57,141.54
1055384,87,1182.57,1139.07
1055420,2.1,8.4,4.116
1055432,58,545.78,545.78
1055451,69.675,1815.0805,1793.9675
1055497,203.5657,2643.644,2641.190333
1055555,153.7,1141.904,1092.198
1055556,75.4,526.292,449.384
1055564,34,927.48,927.48
1055565,145,745.3,738.05
1055581,36,209.88,209.88
1055620,58,1679.1,1345.02
