prod_key,qty,local_acg,local_disc
1048616,1,4.35,4.35
1048673,0.5,11.55,10.53
1048704,1,11.14,11.14
1048770,1,24.62,20.43
1053596,1,22.5,15.3
1053751,1,24.38,24.38
1053771,1,27,24.84
1053863,2,12.52,9.7
1054026,1,5.78,4.99
1054105,2,18.34,16.66
1054132,1,19.58,15.76
1054175,0.2857,6.26,6.26
1054191,1.4,46.018,41.762
1054334,5,11.35,9.5
1054349,1,18.25,15.15
1054556,3,61.1,57.43
1055210,3,33.39,30.27
1055555,5.3,39.376,37.662
1055620,2,57.9,46.38
1055665,1,14.63,13.27
1055701,1,21.65,19.64
1055707,9,80.1,67.32
1056344,2,102.6,84.08
1056527,2,11,11
1056954,3,18.33,18.33
1058634,2,34.07,27.93
1059035,1,22.8,19.68
1059190,1,64.16,53.71
1059371,0.35,2.611,2.366
1061892,1,24.14,20.04
1061925,2,28.58,27.16
1061932,3,84.99,84.99
1062831,3,17.88,6.45
1064564,2,33.8,29.24
1065234,2,38.92,38.92
1066330,2,34.5,34.5
1066666,1,176.23,176.23
1067671,2,13.62,13.62
1067672,3,20.7,20.7
1068313,1,6.64,6.64
1068633,0.25,4.5325,3.7625
1068892,2,17,17
1068986,1,7.68,7.68
1068987,2,15.36,15.36
1068995,2,87.76,87.76
1069496,1,37.23,17.33
1070503,2,125.16,111.9
1070614,3,22.02,18.54
1070995,1,33.33,25.3
1071018,5,232.5,180.63
1071030,5,173,133.54
1072044,2,46.28,36.18
1076896,1,21.97,10.64
1077738,3,45.24,20.37
1078161,1,53.87,48.87
1078298,2,97.7,88.64
1078390,1,20.91,7.05
2127109,1,23,16.45
2127121,3.6666,166.54,125.21
2127122,1.5,15.435,12.675
2127562,5,165,154.95
2128138,18,133.76,80.22
2128407,1.8,19.198,19.198
2128522,3,110.16,101.58
2128672,1.7,12.41,9.523
2129299,1.5,9.015,7.155
2130118,1,12.76,12.76
2130329,1,77.29,71.33
2130816,0.6666,14.05333333,11.08666667
2131711,1,11.19,3.77
2132032,1,11.96,11.96
2132033,1,23,23
2132044,5.7857,46.98,30.25928571
2133882,2,44,35.42
2134170,1,17.08,17.08
2134520,1,25.68,15.88
2134545,1,29.41,29.41
2134566,1,27,21.06
2138415,4,119.28,104.96
2145571,1,35,32.73
2146277,1,28,21.84
2146285,2,14.08,9.2
2154399,0.5,3.42,3.105
2154446,1,3.12,2.79
2154463,2,37.94,25.51
2154509,4,62,54.74
2154510,1,17,14.69
2154576,2,17.84,14.78
2154632,1,22.16,18.68
2155118,1,37.05,37.05
2155119,1,40.27,40.27
2155188,1,9.72,9.72
2161067,4,212,163.71
2161243,1,50,29
2161600,4,115.6,99.27
2162176,1,31.41,31.41
2162179,1,41.58,41.58
2162799,3,202.5,182.25
2162829,1,61.42,61.42
2163009,1,11,10.18
2163010,4,36.32,24.61
2179066,3,63.09,45.06
2179632,1,14.58,14.58
2179748,3,125.46,115.71
2181816,1,38.27,38.27
4280801,3,21.53,21.53
5330216,1,44.08,40.88
5330683,0.2222,5.948888889,5.395555556
5331765,0.1666,1.208333333,0.398333333
5334465,4,141.52,110.64
5335993,1,98,68.6
5336015,1,23.44,23.44
5336105,0.375,21.975,20.28
5336632,4,31.6,28.68
5336927,1,79.12,72
5337477,2,12.14,9.89
5337743,2,38.74,38.74
5337850,5,172.75,148.55
5340841,1,8.01,6.81
5340877,2,101.98,86.68
5341353,2.6,37.93,35.514
5341693,3,138.66,124.8
5343030,1,25.63,23.81
5343230,4,96,86.4
5343385,4,18.32,18.32
5343389,2,29.38,29.38
5343390,1,10.94,10.94
5343392,1,21.27,21.27
5343463,1.15,6.645,5.995
5343574,1,22.98,21.23
5343652,3,68.26,68.26
5343671,1,31.5,31.5
5343711,2,87.4,87.4
5343861,1,67.81,46.79
5344007,1,27.3,23.48
5344216,1,52.08,44.37
5344219,3,102.06,86.91
5344257,1,6.94,5.29
5344501,11,231,180.18
5344508,1,15,11.85
5344509,1,16,12.48
5344510,2,31,24.55
5344748,1,19.31,10.81
5345427,1,4.79,3.4
5345522,1,6.75,3.24
5345529,5,381.25,341.2
5345868,2,29.9,29.9
5345921,3,112.23,104.16
5345952,2,108.12,99.7
5345960,1,40.8,37.63
5346015,2,73.96,73.96
5346062,2,59.34,59.34
5346088,1,45.9,42.33
5346581,1,56.7,56.7
5346642,1,3.84,3.49
5346757,2,30.8,14.08
5346901,1,3.26,1.93
5347028,1,21.6,21.6
5347046,1,21.9,21.9
5347079,1,10.14,5.19
5347232,3,120,93.6
5347659,1,38.49,34.26
5350289,2,16.62,11.28
5350551,2,71.82,56.16
5352531,1,33.66,31.04
5357489,2,106,82.68
5357512,1.3,139.1,108.498
5362526,1,4.19,4.19
5362555,0.5,3.7,2.255
5363458,2,86.14,69.04
5363467,2,10,0.3
5364202,0.18,8.7642,6.6168
5364302,1,250,195
5367601,5,243.1,197.35
5367816,4,7,5.56
5368287,1.5714,55.33,48.73
5368399,1,30,23.4
5369100,1,70.04,53.87
5369357,4,173.2,162.68
5369730,3,81,63.18
5369990,1,10.47,10.47
5370550,1,23.4,23.4
5370664,1,51.42,40.81
5370775,1,74.58,65.63
5370865,1,55.19,46.91
5371237,2,75,66.23
5371712,1.6666,82.42666667,70.43666667
5371895,3,168.3,155.22
5372116,1,30.7,28.24
6421501,2,46,35.88
6421581,1.5714,23.35142857,20.35
6421802,3,20.91,17.97
6421825,1.5,24.205,20.9
6421836,4,338.16,263.68
6422074,1,8,6.24
6423127,2,45.28,33.82
7472287,1,22.98,18.6
7472482,2,22.22,20.1
7472560,1,40.2,40.2
7472564,1,20,17.28
7472571,1,13,11.23
7473240,2,311.06,283.62
7473377,0.5,25.3,17.85
7473378,1,41.81,29.5
7473550,3,116.49,90.87
7473686,1,1,1
7474067,5,189,189
7474093,1,76.95,76.95
7474095,1,69.83,69.83
7474209,1,10.24,10.24
7474231,10,50,1.5
7474246,0.5,18,15.54
7474252,5,169.2,71.85
7475003,0.1666,8.676666667,4.918333333
7475035,2,37.94,24.34
7475720,1,76.5,70.55
7475722,1,49.98,46.09
7475929,5,272.5,247.2
7476398,3,14.19,9.39
7476414,2,70.2,70.2
7476951,3.8571,83.43,79.26428571
7476988,1,43.86,40.45
7477210,1,20,15.6
7477219,3,304.41,260.78
7477235,5,234.9,199.65
7477241,1,29.48,22.59
7477261,2,29.94,23.48
7477347,1,362.17,333.05
7478232,3,183,140.91
7478306,3,329.42,327.77
7478420,1,14.87,14.87
7478531,1,36.16,26.4
7478553,1,20.7,20.7
7478557,2,24.34,24.34
7478702,0.3,2.154,0.819
7478858,5,126.25,114.55
7478893,4,244.08,207.16
7478934,0.6666,6.346666667,3.173333333
7479002,1,28.59,24.3
7479008,2,80.14,37.56
7479085,2,39.38,32.88
7479208,1,16.21,15.56
7479336,1,49,38.71
7479339,4,244,189.71
7479453,4,240.72,222
7479499,5,45.85,23.1
7479538,2,60.48,35.7
