prod_key,qty,local_acg,local_disc
1048582,14.1426,410.31,395.6014286
1048616,3,13.05,13.05
1048672,18.9999,435.85,402.53
1048673,1.5,34.65,31.59
1048674,21.5,532.75,501.075
1048704,3,33.42,33.42
1048770,3,73.86,61.29
1048771,6,85.14,70.68
1048909,54,409.86,409.86
1053415,3,39,29.22
1053429,12,280.56,224.76
1053440,16.5,78.51,62.655
1053467,70.5,1374,934.32
1053471,3,62.64,62.64
1053472,9,116.55,111.36
1053490,12,477.48,477.48
1053515,9.6,229.248,195.936
1053519,27.7,613.278,495.276
1053525,1.9998,28.82,28.82
1053540,57.6666,1297.5,1297.5
1053542,12,131.28,131.28
1053545,31,692.23,692.23
1053546,26.4,991.056,914.76
1053592,6,155.22,155.22
1053594,6,107.64,107.64
1053595,13.2,280.356,266.316
1053596,3,67.5,45.9
1053609,12,126,85.68
1053619,18,346.92,308.76
1053639,34.2,209.304,209.304
1053641,19.5,288.24,262.185
1053652,3.6,128.064,115.554
1053659,3,39.72,39.72
1053710,3,50.91,46.32
1053751,3,73.14,73.14
1053760,78,1581.06,1254.24
1053767,18,384.6,376.98
1053768,5,144.85,144.85
1053770,3,75,70.14
1053771,3,81,74.52
1053845,48,820.8,690.72
1053855,15,435,435
1053863,6,37.56,29.1
1053891,2,38.76,32.62
1054026,3,17.34,14.97
1054029,16.28,123.8806,123.8653
1054033,7.8,43.128,43.128
1054105,6,55.02,49.98
1054127,3,34.23,34.23
1054132,3,58.74,47.28
1054141,9,88.92,78.3
1054157,30,220.92,209.16
1054162,5.85,97.7535,83.538
1054175,0.8571,18.78,18.78
1054189,18,866.16,866.16
1054191,4.2,138.054,125.286
1054216,10,228.2,168.4
1054234,11,77.44,77.44
1054254,6.3,172.863,156.792
1054255,1.2,19.128,17.352
1054258,5.0997,114.699,99.042
1054259,42,468.3,468.3
1054266,9,759.48,759.48
1054282,8.1,271.35,271.35
1054306,75,866.25,711
1054307,12,158.4,130.08
1054312,17.625,475.875,445.03125
1054334,15,34.05,28.5
1054349,3,54.75,45.45
1054353,15,339.6,339.6
1054466,18,319.41,298.95
1054467,39,678.9,496.5
1054518,24.5,651.78,650.095
1054556,9,183.3,172.29
1054558,12,374.52,271.32
1054580,39,1358.1,1358.1
1054603,7,127.68,107.45
1054640,9,63.09,63.09
1054697,17,308.96,308.96
1054698,12,400.08,334.92
1054708,3,24.33,24.33
1054732,13.25,322.6375,322.6375
1054762,7.5,28.875,28.875
1054767,6,240.12,177.18
1054770,9,77.25,75.24
1054771,3,62.28,57.93
1054848,6,228.48,102.72
1055210,9,100.17,90.81
1055212,12,144.6,144.6
1055225,6,187.86,170.4
1055244,141.8,2970.71,1965.348
1055314,3.6,239.844,236.508
1055323,3,64.53,60.66
1055384,9,115.83,111.33
1055420,0.9,3.6,1.764
1055432,6,56.46,56.46
1055451,7.725,173.4495,170.4825
1055497,21.3999,261.786,261.395
1055555,15.9,118.128,112.986
1055556,7.8,54.444,46.488
1055564,5,126.15,126.15
1055565,15,77.1,76.35
1055620,6,173.7,139.14
1055656,3,45.9,41.64
1055665,3,43.89,39.81
1055672,7.5,14.385,14.385
1055699,39,657.54,596.7
1055701,3,64.95,58.92
1055707,27,240.3,201.96
1055795,13.9999,245.54,236.52
1055817,3,53.28,53.28
1055876,3,95.82,73.14
1055877,14.1,303.432,121.401
1055953,12,244.2,195.96
1056010,12,79.8,79.8
1056016,0.6,5.67,4.944
1056017,6,180.3,179.4
1056344,6,307.8,252.24
1056395,6,55.2,55.2
1056527,6,33,33
1056954,9,54.99,54.99
1057053,75,501,501
1057881,18.5,407.95,394.895
1058167,7.5,212.655,167.97
1058211,7.5999,334.754,311.7
1058371,3,53.04,48.12
1058556,18,195.06,192.57
1058634,6,102.21,83.79
1058700,7.6,81.236,71.268
1058709,33,729.27,710.34
1058760,3,13.29,13.29
1058779,15,465.6,465.6
1058899,12,89.64,89.64
1058939,24,115.2,115.2
1059035,3,68.4,59.04
1059037,3,69.24,69.24
1059044,9,139.5,139.5
1059190,3,192.48,161.13
1059349,15,648.99,427.65
1059371,1.05,7.833,7.098
1059765,15,681.3,681.3
1059872,22.5,212.1,209.28
1059937,49,240.1,52.92
1060017,5.3333,54.77333333,54.77333333
1060300,6,293.04,265.8
1060495,6,223.2,223.2
1061169,9.3,450.63,449.76
1061213,16.7,159.322,154.763
1061287,3,102.24,102.24
1061531,7.9285,65.56928571,65.56928571
1061686,4,66.05,66.05
1061892,3,72.42,60.12
1061925,6,85.74,81.48
1061932,9,254.97,254.97
1062130,25.6,156.834,152.856
1062143,9,43.92,43.92
1062281,99,435.6,435.6
1062417,9,153.9,153.9
1062468,15,162.3,162.3
1062579,23,425.81,425.81
1062618,2.5,25.7,23.325
1062667,8.24,25.3648,25.3648
1062736,3,107.1,88.26
1062738,6,128.76,128.76
1062750,12,373.68,373.68
1062831,9,53.64,19.35
1063248,15.75,88.0425,73.08
1063384,19.2,604.08,596.544
1063763,9,117.99,97.92
1063969,15,120.45,120.45
1063986,12,102.6,58.44
1064093,9,184.14,184.14
1064209,24,1406.16,1297.68
1064235,9,108,73.98
1064270,4.8999,111.132,100.058
1064511,9,125.28,108.18
1064530,6,215.52,215.52
1064564,6,101.4,87.72
1064782,4,146,146
1064993,2.9,70.847,59.914
1064996,38.1,218.313,210.123
1065068,0.45,2.9565,2.9565
1065099,9,278.94,270.93
1065100,9,265.86,265.86
1065133,3.6,75.492,44.64
1065160,1.2,89.76,76.14
1065217,15,375.36,375.36
1065234,6,116.76,116.76
1065331,21,677.04,677.04
1065469,11,409.19,407.33
1065471,5,56.58,56.58
1065763,226.9999,2912.47,2907.7
1066019,9,263.79,263.79
1066127,6.9999,147.34,139.01
1066292,29.4,2296.966,2159.136
1066321,6,79.2,79.2
1066330,6,103.5,103.5
1066405,9,62.79,62.79
1066492,47.5,911.05,911.05
1066666,3,528.69,528.69
1066755,6,120.48,114.69
1067006,7.5,81.915,80.1
1067039,12,311.88,272.04
1067337,13,66.95,66.95
1067512,4.7,238.384,238.384
1067513,6,151.17,104.61
1067520,25,1432.83,1390.59
1067539,12,435.48,391.83
1067671,6,40.86,40.86
1067672,9,62.1,62.1
1067695,1.5,78.99,71.655
1067851,9,71.88,71.88
1068011,4,17.36,14.52
1068016,9,50.58,50.58
1068095,4.08,93.8004,81.972
1068153,51.1999,660.48,627.712
1068305,30,102,102
1068313,3,19.92,19.92
1068317,6,15.36,15.36
1068369,7,25.48,25.48
1068633,0.75,13.5975,11.2875
1068892,6,51,51
1068986,3,23.04,23.04
1068987,6,46.08,46.08
1068995,6,263.28,263.28
1068997,1,30.46,30.46
1069099,31.8,35.862,34.188
1069173,9,172.44,144.54
1069174,27,478.98,401.49
1069496,3,111.69,51.99
1070008,78,3344.88,3125.43
1070088,12,150.12,150.12
1070089,9,233.1,233.1
1070211,6,121.62,91.68
1070226,24,128.34,100.59
1070404,3.6,110.304,85.572
1070460,3,13.14,7.62
1070503,6,375.48,335.7
1070508,0.9,3.528,2.97
1070614,9,66.06,55.62
1070995,3,99.99,75.9
1071018,15,697.5,541.89
1071026,6,220.62,162.84
1071030,15,519,400.62
1071125,6,199.32,132.66
1071914,6,321.12,247.86
1072044,6,138.84,108.54
1072075,10.2,286.314,186.66
1072176,15,294.75,294.75
1072197,21,125.79,125.79
1076800,25,162.25,162.25
1076816,119.1,7057.926,6926.646
1076887,39,525.72,525.72
1076892,1.9998,62.2,56.42
1076896,3,65.91,31.92
1076935,45.6427,403.9392857,403.9392857
1077565,18,1714.5,1551.6
1077738,9,135.72,61.11
1077997,4,125.6,70.32
1078161,3,161.61,146.61
1078298,6,293.1,265.92
1078390,3,62.73,21.15
1078391,21,57.96,57.96
2127010,18,194.76,194.76
2127109,3,69,49.35
2127121,10.9998,499.62,375.63
2127122,4.5,46.305,38.025
2127185,24,695.04,631.44
2127242,6,363.9,311.04
2127312,21.3,938.052,850.935
2127424,21,279.75,239.55
2127429,12,183.6,183.6
2127432,12,313.08,225.24
2127562,15,495,464.85
2127646,17.7499,345.08,276.5775
2127985,22.5,147.855,79.785
2128138,54,401.28,240.66
2128216,26,689,465.14
2128222,157.9,727.505,727.505
2128223,22.5,160.605,153.87
2128229,40.75,1097.155,1095.0025
2128407,5.4,57.594,57.594
2128522,9,330.48,304.74
2128634,46,193.3,193.3
2128672,5.1,37.23,28.569
2128690,13.9284,157.7492857,139.3707143
2128895,48,960,960
2128987,99,643.5,532.62
2129087,0.6,18.618,16.89
2129237,6.75,593.16,531.51
2129299,4.5,27.045,21.465
2129324,17.4999,245.125,241.175
2129336,10.8,148.392,141.966
2129461,6,110.34,110.34
2129557,12,347.28,278.28
2129947,15,279.69,272.94
2130100,3.9,72.93,66.144
2130118,3,38.28,38.28
2130242,13,137.24,131.81
2130249,11.55,370.755,370.755
2130329,3,231.87,213.99
2130502,3.2141,229.7571429,205.875
2130543,58.7141,876.7885714,771.9685714
2130544,32.6784,1072.8375,848.9892857
2130750,12,190.08,190.08
2130816,1.9998,42.16,33.26
2131081,71,267.67,267.67
2131120,12,90.6,80.4
2131128,3,82.08,73.02
2131421,87,1653,1272.81
2131711,3,33.57,11.31
2131712,26.2498,973.6125,725.2875
2131796,64,1152,679.68
2132032,3,35.88,35.88
2132033,3,69,69
2132044,17.3571,140.94,90.77785714
2132045,2.6784,18.40178571,12.64285714
2132194,108.9,1493.382,1441.608
2132413,63,3369.87,3033.45
2132444,6,166.98,166.98
2132502,9,36.9,36.9
2132503,3,11.97,9.69
2132504,3,9,5.79
2132505,9,17.61,17.61
2133061,16.0713,118.5610714,117.2817857
2133062,4.8213,123.6214286,95.56071429
2133827,342.4998,3376.515,1463.22
2133830,11.5,96.7,96.7
2133882,6,132,106.26
2133943,19,183.35,125.97
2134170,3,51.24,51.24
2134470,24,276.24,276.24
2134520,3,77.04,47.64
2134545,3,88.23,88.23
2134566,3,81,63.18
2135315,30,54.9,54.9
2136293,12.9,30.555,26.436
2136743,24,690.3,664.38
2136824,6,1.2,1.2
2137141,6,0.66,0.66
2137526,4,420.45,413.58
2137662,48,324,97.44
2137663,5.1426,94.42285714,29.41714286
2137732,9,128.7,93.96
2138018,89,1099.15,1099.15
2138321,81,541.08,541.08
2138415,12,357.84,314.88
2138416,3.75,186.225,165.3375
2139181,15.6,622.44,523.692
2145549,21.75,422.385,422.385
2145571,3,105,98.19
2145843,6,28.62,16.56
2145864,9,3804.39,3804.39
2145982,15,242.55,242.55
2146019,59.64,1310.8872,1179.6792
2146092,6,100.92,89.85
2146097,8.5,230.265,230.265
2146178,9,270.36,270.36
2146277,3,84,65.52
2146285,6,42.24,27.6
2146333,13.5,181.905,167.205
2146338,40.08,315.048,280.3824
2146348,18,519.66,494.52
2146359,16.2855,590.52,535.8
2146362,2.25,65.0025,65.0025
2146437,24,592.98,592.98
2146442,30,960.9,960.9
2146576,44.25,1805.4,1603.1775
2147295,18.6428,607.5385714,590.8707143
2154214,26.6,119.434,119.434
2154235,6,38.7,33.3
2154236,12,69.81,62.07
2154237,3,15.33,15.33
2154238,18,195.42,170.94
2154239,9,78.66,73.71
2154240,18,143.64,138.69
2154364,12,218.4,218.4
2154399,1.5,10.26,9.315
2154401,18,567,467.82
2154402,12,366.72,366.72
2154404,20.9998,433.47,410.26
2154420,34.5,649.29,649.29
2154423,36.9,388.14,354.123
2154429,9.9999,93.4,84.7
2154437,84,365.91,364.35
2154446,3,9.36,8.37
2154447,12.6,291.09,241.578
2154449,5.25,32.3175,31.5175
2154463,6,113.82,76.53
2154465,12,44.28,38.52
2154476,7,138.24,136.02
2154477,6.3,111.417,107.142
2154478,4.5,97.65,95.025
2154496,4.5,50.79,37.815
2154509,12,186,164.22
2154510,3,51,44.07
2154511,3,51,45.39
2154514,3,70.98,40.77
2154515,4,60.4,60.4
2154525,92.45,746.0715,662.8665
2154528,15,377.55,377.55
2154541,12,353.55,282.87
2154550,9,556.02,556.02
2154551,7.2,771.204,757.2
2154566,45,631.8,393.3
2154569,18,400.32,400.32
2154574,8.5713,33.6,27.85714286
2154575,15.2142,89.10642857,85.58142857
2154576,6,53.52,44.34
2154583,6,111,103.23
2154595,4.9998,94.7,94.7
2154632,3,66.48,56.04
2154656,7,42.21,42.21
2154674,11,187.44,187.44
2154688,6,92.04,92.04
2155112,6,233.49,233.49
2155117,5,213.3,213.3
2155118,3,111.15,111.15
2155119,3,120.81,120.81
2155185,15,210.15,210.15
2155186,24,466.35,466.35
2155188,3,29.16,29.16
2155189,3,40.11,40.11
2155217,3,40.77,34.17
2155267,15,456.66,382.59
2155352,3,60.63,60.63
2160852,15,86.25,86.25
2161067,12,636,491.13
2161100,4,13.04,13.04
2161243,3,150,87
2161600,12,346.8,297.81
2161666,15.75,151.3575,151.3575
2161844,21,147.75,139.83
2161858,3,33.96,26.49
2161887,6,330,330
2161889,3,93.57,84.9
2161922,13,92.56,92.56
2162176,3,94.23,94.23
2162179,3,124.74,124.74
2162333,6,89.1,73.14
2162652,1.5,19.095,15.18
2162735,9,174.42,165.69
2162799,9,607.5,546.75
2162829,3,184.26,184.26
2162855,5.4,26.946,24.276
2162900,136.3,3103.664,3103.664
2163009,3,33,30.54
2163010,12,108.96,73.83
2163414,118.9998,2264.52,2264.52
2163421,12,109.44,95.4
2163500,18.4998,244.87,214.025
2178435,3,269.34,269.34
2178443,15,266.25,266.25
2178622,15,535.26,491.28
2178674,3,77.55,52.02
2178876,48,825.6,661.44
2179024,61,1189.5,808.86
2179042,174.8,2642.976,1314.084
2179043,74,1114.02,544.29
2179065,6,91.98,65.7
2179066,9,189.27,135.18
2179549,3,27.87,27.87
2179556,12,122.64,76.68
2179615,30,438.3,438.3
2179632,3,43.74,43.74
2179724,6,135,135
2179748,9,376.38,347.13
2179749,12,795.6,733.68
2179751,3,135,135
2179755,23,808.2,776.74
2180580,6,83.28,83.28
2181783,6,77.4,77.4
2181816,3,114.81,114.81
3230668,6,108,108
3230687,25.0713,429.3364286,423.5464286
3230706,77.9998,1647.98,1642.6
3230916,24.6666,677.1,542.1733333
3230964,59,8524.32,8524.32
3231165,0.6,3.492,2.028
3231168,20,698.4,698.4
3231267,3,152.61,149.55
3231460,5.4,665.442,606.756
4280598,6,106.44,106.44
4280615,8,7.08,7.08
4280801,9,64.59,64.59
5329788,12,23.04,23.04
5330216,3,132.24,122.64
5330683,0.6666,17.84666667,16.18666667
5330782,6,40.08,40.08
5330860,9,396,310.14
5330861,6,294,226.38
5331260,12,712.56,641.28
5331280,9,351.09,351.09
5331332,7.5,44.7,12.525
5331449,54,132.84,132.84
5331460,15,795,612.15
5331478,6.4998,49.93,49.705
5331479,7,80.57,80.57
5331527,1.9998,13.04,7.56
5331561,2.4,64.176,57.264
5331562,3.3,103.093,91.787
5331563,6.6,204.27,181.368
5331765,0.4998,3.625,1.195
5331848,12,546.99,518.73
5331889,15,14.4,14.4
5331895,6,254.82,254.82
5332052,3,35.49,35.49
5334368,3,68.43,39.27
5334465,12,424.56,331.92
5334473,15,794.01,766.65
5334476,3,197.34,182.1
5334477,6,710.88,667.56
5334482,4.9284,120.3192857,117.8864286
5335232,78.5,1727,1359.62
5335520,14,193.06,193.06
5335782,4.3926,131.8821429,117.675
5335974,24,297.84,286.62
5335993,3,294,205.8
5336014,3,70.32,70.32
5336015,3,70.32,70.32
5336105,3.375,197.775,182.52
5336126,9,142.11,128.88
5336328,88,1687.84,1687.84
5336355,6,0,0
5336415,76,1733.08,1654
5336416,25,400,364
5336568,28.85,197.6225,163.5795
5336630,24,100.32,91.2
5336632,12,94.8,86.04
5336633,21,272.58,247.2
5336640,167,1957.24,1957.24
5336858,12,347.64,347.64
5336860,0.6426,44.58214286,41.46428571
5336927,3,237.36,216
5336944,22,478.28,416.02
5336945,15.9999,370.08,336.8
5336974,3,70.74,65.7
5337334,9,258.57,220.14
5337335,30,892.2,759.6
5337477,6,36.42,29.67
5337633,23.64,646.7904,574.3164
5337743,6,116.22,116.22
